t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1537970248,49,209.172516,188.172927,0.088518,47.348850,199.904126,199.955869,200.145308,200.816255,209.172516,209.172516,4.724085,4.279956,4.216529,4.205540,calls/second,milliseconds
1537970258,107,225.074685,176.992323,0.061151,64.598716,199.910112,199.984519,200.816255,219.554019,225.074685,225.074685,5.295608,4.517146,4.268605,4.223177,calls/second,milliseconds
1537970268,154,321.585847,189.131746,0.061151,60.219008,199.938336,200.365963,244.225110,303.791000,304.182279,321.585847,5.098241,4.560569,4.286026,4.229550,calls/second,milliseconds
1537970278,201,368.552559,195.836852,0.061151,54.346157,199.956725,200.747834,256.004954,303.791000,321.585847,368.552559,4.991781,4.582614,4.299625,4.234752,calls/second,milliseconds
1537970288,252,368.552559,196.085432,0.061151,51.231676,199.972546,200.818392,244.851584,286.390853,304.182279,368.552559,5.017904,4.663960,4.325946,4.244322,calls/second,milliseconds
1537970298,310,393.963018,189.801704,0.061151,61.829891,199.967415,200.836353,244.851584,273.654835,321.585847,393.963018,5.149375,4.838363,4.374272,4.261511,calls/second,milliseconds
1537970308,368,393.963018,186.235683,0.061151,65.730821,199.969981,200.818392,238.979408,273.654835,314.985850,393.963018,5.240505,4.968722,4.417652,4.277397,calls/second,milliseconds
1537970318,421,393.963018,186.706547,0.061151,67.466217,199.967415,200.810696,244.225110,314.985850,332.052448,393.963018,5.248376,5.032374,4.449748,4.289789,calls/second,milliseconds
1537970328,473,393.963018,187.217254,0.061151,65.700786,199.985376,201.257138,242.112632,303.791000,332.052448,393.963018,5.244152,5.042116,4.471039,4.298738,calls/second,milliseconds
1537970338,524,393.963018,189.507289,0.061151,61.284085,199.981526,200.816255,240.283671,281.533009,325.390873,393.963018,5.225401,5.049085,4.491576,4.307583,calls/second,milliseconds
1537970348,575,400.185419,189.585055,0.061151,61.512119,199.978105,200.769644,235.277012,281.533009,332.052448,400.185419,5.217902,5.086966,4.518052,4.318545,calls/second,milliseconds
1537970358,629,400.185419,189.255782,0.061151,60.291913,199.978105,201.005694,232.308853,269.850664,325.390873,400.185419,5.232365,5.121588,4.543770,4.329399,calls/second,milliseconds
1537970368,682,400.185419,188.897845,0.061151,59.110622,199.969981,200.734578,227.492061,261.451213,314.985850,400.185419,5.237577,5.147060,4.568480,4.340115,calls/second,milliseconds
